timestamp,question,question_num,answer,is_correct,choice
2018-02-02 20:04:25,What did Yankee Doodle stick in his cap?,1,Feather,True,A
2018-02-02 20:04:25,What did Yankee Doodle stick in his cap?,1,Noodle soup,False,B
2018-02-02 20:04:25,What did Yankee Doodle stick in his cap?,1,Duck,False,C
2018-02-02 20:05:13,What word completes the phrase: “Everything but the kitchen”?,2,Sink,True,A
2018-02-02 20:05:13,What word completes the phrase: “Everything but the kitchen”?,2,Kaleidoscope,False,B
2018-02-02 20:05:13,What word completes the phrase: “Everything but the kitchen”?,2,Hogwash,False,C
2018-02-02 20:05:48,What was the first theatrical feature film to be completely computer-animated?,3,Gone with the Wind,False,A
2018-02-02 20:05:48,What was the first theatrical feature film to be completely computer-animated?,3,Toy Story 2,False,B
2018-02-02 20:05:48,What was the first theatrical feature film to be completely computer-animated?,3,Toy Story,True,C
2018-02-02 20:06:34,"Traditionally, an “amuse-bouche” arrives right before what part of the meal?",4,Appetizers,True,A
2018-02-02 20:06:34,"Traditionally, an “amuse-bouche” arrives right before what part of the meal?",4,Entrée,False,B
2018-02-02 20:06:34,"Traditionally, an “amuse-bouche” arrives right before what part of the meal?",4,Dessert,False,C
2018-02-02 20:07:52,"In the game of Candy Land, which player goes first?",5,The youngest,True,A
2018-02-02 20:07:52,"In the game of Candy Land, which player goes first?",5,Blue token holder,False,B
2018-02-02 20:07:52,"In the game of Candy Land, which player goes first?",5,First to draw a red card,False,C
2018-02-02 20:08:51,"In the popular comic strip, what color is Hagar the Horrible’s beard?",6,White,False,A
2018-02-02 20:08:51,"In the popular comic strip, what color is Hagar the Horrible’s beard?",6,Blond,False,B
2018-02-02 20:08:51,"In the popular comic strip, what color is Hagar the Horrible’s beard?",6,Red,True,C
2018-02-02 20:10:05,What spice comes from the crocus flower?,7,Cloves,False,A
2018-02-02 20:10:05,What spice comes from the crocus flower?,7,Allspice,False,B
2018-02-02 20:10:05,What spice comes from the crocus flower?,7,Saffron,True,C
2018-02-02 20:10:18,Albert Einstein won a Nobel Prize for his work on what scientific phenomenon?,8,General relativity,False,A
2018-02-02 20:10:18,Albert Einstein won a Nobel Prize for his work on what scientific phenomenon?,8,Photoelectri… https://t.co/DJYgCLYAgV,False,B
2018-02-02 20:11:20,Buying a can of soda will incur a higher tax in which city?,9,"Santa Barbara, CA",False,A
2018-02-02 20:11:20,Buying a can of soda will incur a higher tax in which city?,9,"Denver, CO",False,B
2018-02-02 20:11:20,Buying a can of soda will incur a higher tax in which city?,9,"Seattle, WA",True,C
2018-02-02 20:12:04,Who is credited with coining the phrase: “For whom the bell tolls”?,10,John Donne,True,A
2018-02-02 20:12:04,Who is credited with coining the phrase: “For whom the bell tolls”?,10,William Shakespeare,False,B
2018-02-02 20:12:04,Who is credited with coining the phrase: “For whom the bell tolls”?,10,Ernest Hemingway,False,C
2018-02-02 20:12:54,What was the first product to have its barcode scanned at purchase?,11,Rubik’s Cube,False,A
2018-02-02 20:12:54,What was the first product to have its barcode scanned at purchase?,11,Wrigley's chewing gum,True,B
2018-02-02 20:12:54,What was the first product to have its barcode scanned at purchase?,11,Apple IIe,False,C
2018-02-02 20:14:28,Catherine de’ Medici was present at the performance of the first-ever formal what?,12,Opera,False,A
