,question,is_correct,num_characters,num_words,num_sentences,transformed_text
0,What did Yankee Doodle stick in his cap?,1,40,9,1,yanke doodl stick cap
3,What word completes the phrase: “Everything but the kitchen”?,1,61,13,1,word complet phrase everyth kitchen
6,What was the first theatrical feature film to be completely computer-animated?,0,78,12,1,first theatric featur film complet
9,"Traditionally, an “amuse-bouche” arrives right before what part of the meal?",1,76,15,1,tradit arriv right part meal
12,"In the game of Candy Land, which player goes first?",1,51,12,1,game candi land player goe first
15,"In the popular comic strip, what color is Hagar the Horrible’s beard?",0,69,16,1,popular comic strip color hagar horribl beard
18,What spice comes from the crocus flower?,0,40,8,1,spice come crocu flower
21,Albert Einstein won a Nobel Prize for his work on what scientific phenomenon?,0,77,14,1,albert einstein nobel prize work scientif phenomenon
23,Buying a can of soda will incur a higher tax in which city?,0,59,14,1,buy soda incur higher tax citi
26,Who is credited with coining the phrase: “For whom the bell tolls”?,1,67,16,1,credit coin phrase bell toll
29,What was the first product to have its barcode scanned at purchase?,0,67,13,1,first product barcod scan purchas
32,Catherine de’ Medici was present at the performance of the first-ever formal what?,0,82,15,1,catherin de medici present perform formal
35,Parmesan cheese is named for an Italian province called what?,0,61,11,1,parmesan chees name italian provinc call
38,Which of these famous fictional animals is a ruminant?,1,54,10,1,famou fiction anim rumin
41,Which popular root beer brand typically contains caffeine?,1,58,9,1,popular root beer brand typic contain caffein
44,Which of these elements would earn you the highest score in Scrabble?,1,69,13,1,element would earn highest score scrabbl
47,What is the correct spelling of the Pennsylvania town famous for its groundhog?,0,79,14,1,correct spell pennsylvania town famou groundhog
50,"In 1973, Arabella and Anita became the first members of what species to go into space?",1,86,18,1,1973 arabella anita becam first member speci go space
53,What was the least popular papal name of the 19th century?,0,58,12,1,least popular papal name 19th centuri
56,New Mexico exempts which group of people from paying state income taxes?,0,72,13,1,new mexico exempt group peopl pay state incom tax
59,Which of these Summer Olympics events uses the longest playing surface?,1,71,12,1,summer olymp event use longest play surfac
62,The college degree “B.A.” is short for what?,1,44,11,1,colleg degre short
65,Which country is part of North America?,0,39,8,1,countri part north america
68,Which tool is typically used to clear a clogged pipe?,0,53,11,1,tool typic use clear clog pipe
71,Which of the original Monopoly game pieces was retired last year?,1,65,12,1,origin monopoli game piec retir last year
74,Which film director holds a U.S. patent for a T-shirt?,0,54,11,1,film director hold patent
77,Which food is traditionally a main ingredient in mock turtle soup?,1,66,12,1,food tradit main ingredi mock turtl soup
80,Aerosmith’s “Dude (Looks Like a Lady)” was written about what heavy metal vocalist?,0,83,20,1,aerosmith dude look like ladi written heavi metal vocalist
83,Which of these is Venus visibly lacking in Botticelli's “Birth of Venus”?,0,73,16,1,venu visibl lack botticelli birth venu
86,Boston and Buffalo have both been home to major pro sports teams named what?,0,76,15,1,boston buffalo home major pro sport team name
89,Which type of animal has been kept as a White House pet by a U.S. president?,1,76,17,1,type anim kept white hous pet presid
92,"In the 1800s, a chemistry student making synthetic quinine accidentally created what dye?",1,89,15,1,1800 chemistri student make synthet quinin accident creat dye
95,Tic-tac-toe is typically played by writing what two symbols?,0,60,10,1,typic play write two symbol
98,What’s the anatomical name for the center of a hurricane?,0,57,13,1,anatom name center hurrican
101,Which of these is an actual Winter Olympics event?,1,50,10,1,actual winter olymp event
104,A high-tech store with no cashiers recently opened in Seattle under what name?,1,78,14,1,store cashier recent open seattl name
107,"By definition, which of these people is guilty of treason?",0,58,12,1,definit peopl guilti treason
110,Which of these actors turned down the role of Frasier Crane?,0,60,12,1,actor turn role frasier crane
113,The Benihana company has a restaurant in which of these places?,0,63,12,1,benihana compani restaur place
116,Which has been the last name of a U.S. president AND a British prime minister?,0,78,16,1,last name presid british prime minist
119,What author has the most books in Modern Library’s 100 Best Novels of the 20th Century?,0,87,19,1,author book modern librari 100 best novel 20th centuri
121,In what medium was Superman’s Kryptonite weakness introduced?,1,61,11,1,medium superman kryptonit weak introduc
124,Which statement is NOT true about photosynthesis and chemosynthesis?,1,68,10,1,statement true photosynthesi chemosynthesi
126,What costume was worn by the original lead singer of the Village People?,0,72,14,1,costum worn origin lead singer villag peopl
129,A spork is a utensil that combines what two things?,0,51,11,1,spork utensil combin two thing
132,"On a compass, what does the letter N typically stand for?",0,57,13,1,compass letter n typic stand
135,"In 2017, what did Twitter do to its 140-character limit on tweets?",1,66,14,1,2017 twitter limit tweet
138,What popular corn chip loosely translates to “little golden things” in Spanish?,0,79,15,1,popular corn chip loos translat littl golden thing spanish
141,U.S. air traffic controllers refer to the plane the Pope travels on by what official call sign?,1,95,18,1,air traffic control refer plane pope travel offici call sign
144,What zodiac sign features a creature that defends itself with an aculeus?,0,73,13,1,zodiac sign featur creatur defend aculeu
147,Who was the first U.S. president to enjoy indoor plumbing at the White House?,0,77,15,1,first presid enjoy indoor plumb white hous
150,"From 2000 to 2002, what MLB team's stadium was named for a company that no longer exists?",0,89,20,1,2000 2002 mlb team stadium name compani longer exist
153,The lunar module for the Apollo 10 moon mission was nicknamed what?,0,67,13,1,lunar modul apollo 10 moon mission nicknam
156,Which public radio program is hosted by the cousin of a multiple Oscar-nominated composer?,1,90,15,1,public radio program host cousin multipl compos
157,"After Prince Edward Island, what is Canada’s most densely populated province?",0,77,15,1,princ edward island canada dens popul provinc
160,An extremely impolite guest at a Nixon family wedding went on to write under what nom de plume?,0,95,19,1,extrem impolit guest nixon famili wed went write nom de plume
162,What is a common remedy for dehydration?,1,40,8,1,common remedi dehydr
165,"The band that recorded “September” is named “Earth, Wind &amp;” what?",0,69,19,1,band record septemb name earth wind amp
